alimentos;maitintis
aceite;aliejus
aceituna;alyvuogė
ajo;česnakas
atun;tunas
azucar;cukrus
barra de pan;duonos lazdelė
bocadillo;sumuštinis
bolsa de naranjas;apelsinų krepšys
botella de leche;pieno butelis
cabeza de ajos;česnako galva
cafe;kavinė
carne;mėsa
carniceria;mėsinė
carnicero;mėsininkas
cebolla;svogūnas
cerdo;kiauliena
cereales;dribsniai
chocolate;šokoladas
compra;pirkinys
comprar;pirkti
congelados;sušaldyta
cordero;ėriena
docena de huevos;tuzinas kiaušinių
espaguetis;spagečiai
filete de ternera;veršienos filė
fresa;braškės
fruta;vaisiai
fruteria;vaisių parduotuvė
frutero;vaisių pardavėjas
galleta;sausainis
gamba;krevetė
heladera;ledų mašina
heladeria;ledų parduotuvė
heladero;ledų pardavėjas
helado;ledai
huevo;kiaušinis
ir a la compra;eiti apsipirkti
jamon serrano;kumpis
kilo;kilogramas
lata de refresco;skardinė gaivaus gėrimo
leche;pienas
lechuga;salotos
litro;litras
loncha de jamon;kumpio riekelė
queso;sūris
macarrones;makaronai
mantequilla;sviestas
manzana;obuolys
melon;melionas
mercado;sriuba
merluza;lydeka
mermelada;uogienė
naranja;apelsinas
nevera;šaldytuvas
pan;duona
panaderia;kepykla
panadero;kepėjas
paquete de salchitas;dešrelių pakelis
pasta;makaronai
patata;bulvytė
pera;kriaušė
perejil;petražolė
pescaderia;žuvies parduotuvė
pescadero;žuvies parduotuvė
pescado;žuvis
pina;ananasas
platano;bananas
queso;sūris
queso fresco;šviežias sūris
refresco;gaivusis gėrimas
salami;saliamis
salchicha;dešra
salmon;lašiša
sandia;arbūzas
sandwich;sumuštinis
sardina;sardinės
tarrina de mantequilla;sviesto pakelis
tarro de mermelada;uogienės stiklainis
ternera;veršiena
tomate;pomidoras
ultramarinos;pirkiniai(groceries)
vegetariano;vegetariškas
verduleria;daržovių parduotuvė
vino;vynas
yogur;jogurtas
zanahoria;morka
a la plancha;kepti ant grotelių
agua mineral;mineralinis vanduo
aperitivo;užkandis
arroz;ryžiai
asado;skrudinta
bar;baras
barra de un bar;baro stalas
beber;gerti
bebida;gėrimas
cafe con leche;kava su pienu
camarero;padavėja
carta;meniu
cenar;pietauti
cerveza;alus
comer;valgyti
cuenta;sąskaita
dejar propina;palikti arbatpinigių
desayuno;pusryčiai
ensalada;salotos
filete de ternera;veršienos filė
hambre;alkanas
huevo frito;keptas kiaušinis
ingrediente;ingredientas
jugo;sultys
leche;pienas
mayonesa;majonezas
melon;melionas
menu del dia;dienos meniu
merluza;lydeka
pasta;makaronai
patata;bulvytė
pedir la cuenta;paprašyti sąskaitos
pescado;žuvis
picar algo de comer;užkąsti
pincho de tortilla;omletas
pollo;vištiena
postre;desertas
primer plato;pirmas patiekalas
propina;arbatpinigiai/patarimas(tip)
queso;sūris
reservar una mesa;rezervuoti stalą
salsa de tomate;pomidorų padažas
sardina;sardinės
sed;ištroškęs
segundo plato;antras patiekalas
sopa;sriuba
tarta de chocolate;šokoladinis pyragas
te;arbata
tener sed/hambre;būti ištroškusiam/išalkusiam
ternera;veršiena
tomar algo;ką nors gerti
tomar nota;atkreipti dėmėsį
tortilla;kiaušinienė
traer la cuenta;gauti sąskaitą
vegetariano;vegetariškas
verdura;daržovė
vino blanco;baltas vynas
utensilos de cocina y de mesa;virtuvės reikmenys
azucar;cukrus
azucarero;cukraus gamintojas
bandeja;padėklas
botella;butelis
cafe;kava
cafetera;kavos aparatas
copa;puodelis
cubiertos;stalo įrankiai
cuchara;šaukštas
cuchillo;peilis
ensalada;salotos
helado;ledai
jarra;ąsotis
lata;skardinė
mantel;staltiesė
mesa;stalas
pasar;praeiti
plato hondo;gilus indas
plato llano;paprastas indas
plato de postre;desertinis indas
porner la mesa;paruošti stalą
postre;desertas
pure;grynas
quitar la mesa;pašalinti stalą
recoger la mesa;nuvalyti stalą
salero;druska
servilleta;servetėlė
sopa;sriuba
tarro;stiklainis
taza;puodelis
tenedor;šakutė
vaso;stiklinė
vinagre;actas
vinagrera;acto buteliukas prie stalo
celebrar;švęsti
dia de fiesta;atostogos
fiesta;vakarėlis
amarillo;geltona
azul;mėlyna
blanco;balta
naranja;oranžinė
negro;juoda
rojo;raudona
